"tweet_id","text"
1505846720512593920,"delight uk capability network launch employee train programme support network understand neurodiversity organisation"
1505846784056340480,"holly share worry diagnose adhd celebrate hear hub gt"
1505846939828563968,"competition people celebrate neurodiversity week launch close date st march"
1505847040059883520,"mark day neurodiversity celebration week empower individual challenge stereotype misconception neurological difference"
1505855553662242816,"week sjp neurodiversity celebration week panel event online detail website"
1505857141676068864,"neurodiversity celebration week worldwide initiative set challenge stereotype misconception learn difference week aim transform neurodivergent individual perceive support provide opportunity recognise"
1505857147514638336,"neurodiversity"
1505858018247856128,"mark day neurodiversity celebration week offer technology website improve access information empower neurological difference"
1505860282958192640,"day neurodiversity celebration week recognise talent advantage neurodivergent create diverse inclusive community"
1505861916098535424,"light neurodiversity week space resource student provide recognise neurological difference amp support empower individual click"
1505862537035853824,"learn communication style improve productivity accommodate people neurodiverse condition amp identify strength benefit organisation"
1505870655253884928,"reminder strength difference bring read ashley neurodivergent colleague"
1505872393667031040,"neurodiversity week love stop people talk dyspraxia simply physical disability dyspraxia not_just clumsiness lack grossfine motor skill impact brain learn speech heres matter"
1505873114579836928,"week neurodiversity celebration week cc proud support celebrate difference positive force change visit web page register event"
1505876879479386112,"proud support neurodiversity celebration week celebrate neurodiverse staff student"
1505876884571123712,"mark day neurodiversity celebration week aim empower individual challenge stereotype misconception neurological difference"
1505877168940892160,"neurodiversity business nib initiative launch march house common mission ensure workplace inclusion neurodivergent community"
1505878136101212160,"aig celebrate recognise contribution bring workplace"
1505882144169775104,"bridge gap scotlands employer highlyskilled neurodivergent workforce learn"
1505882752687788032,"kicksoff celebration week wonderful share tip support neurodivergent person"
1505884615889895424,"collaborate bridge gap scotlands employer highlyskilled workforce wealth"
1505886362964176896,"start aim challenge stereotype people neurological difference"
1505891648416460800,"week neurodiversity celebration week opportunity pegasus scheme scheme people hard communicate"
1505892098897285120,"week neurodiversity celebration week week aim transform neurodivergent individual perceive challenge misconception stereotype"
1505896268647784448,"join lead access consultant architect jane simpson helen kane provide accessible guide architect neurodiversity design free webinar march book ticket"
1505898082235568128,"celebrate neurodiversity appreciation unusual unlock progress rest honour difference"
1505903314319335424,"week neurodiversity celebration week proud support celebrate difference positive force change visit web page register event"
1505903747121262592,"neurodiversity celebration week release series film video focus adhd amp feature neurodivergent police officer amp firefighter film"
1505906683889041408,"job hunt neurodivergent people ai recruitment chance facial analysis technology recruitment accord people bias"
1505907107677323264,"recent interview ceo discuss label misconception society autistic people read interview"
1505907485001252864,"mark start neurodiversity celebration week worldwide initiative challenge stereotype misconception neurological difference click initiative"
1505908088905224192,"neurodiversity celebration week march benjamin ford behavioural therapist nhs live experience autism discuss importance support neurodivergent colleague nhs"
1505919518794731520,"mark day neurodiversity celebration week empower individual challenge stereotype misconception neurological difference"
1505922229200207872,"chance celebrate difference highlight incredible neurodiversity share profile list eye peel read impact list"
1505922230710161408,"conversation surround neurodiversity challenge person accomplish flip conversation change"
